epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.383,1.76442,4.1345,1.86326,0.00573,0.54441,0.18798,0.12478,1.71892,4.07766,1.91343,0.000272113,0.000272113,0.000272113
2,288.944,1.55492,3.2398,1.63928,0.67347,0.34153,0.41634,0.25011,1.91296,3.1797,1.95372,0.000495352,0.000495352,0.000495352
3,459.994,1.53603,2.68671,1.64704,0.60173,0.51361,0.48677,0.24849,1.87073,2.79573,1.98387,0.000663612,0.000663612,0.000663612
4,627.079,1.45898,2.44101,1.59748,0.64415,0.53861,0.54311,0.32686,1.47464,2.23863,1.54902,0.000585599,0.000585599,0.000585599
5,800.412,1.3922,2.20137,1.51322,0.73695,0.49854,0.57668,0.33586,1.51002,2.18915,1.49246,0.000503132,0.000503132,0.000503132
6,935.688,1.32976,1.99513,1.48234,0.66596,0.64106,0.60606,0.39262,1.33345,1.93011,1.40877,0.000420665,0.000420665,0.000420665
7,1077.68,1.2646,1.91695,1.43321,0.6611,0.68639,0.65506,0.39596,1.39834,1.99082,1.44401,0.000338198,0.000338198,0.000338198
8,1241.48,1.22776,1.78961,1.40982,0.83646,0.63079,0.67889,0.43647,1.29557,1.73045,1.31828,0.000255731,0.000255731,0.000255731
9,1385.55,1.20604,1.72976,1.35059,0.80078,0.69362,0.73179,0.45938,1.41446,1.7654,1.44133,0.000173264,0.000173264,0.000173264
10,1521.75,1.15893,1.71553,1.32029,0.80249,0.69206,0.72037,0.47042,1.31115,1.6388,1.30377,9.0797e-05,9.0797e-05,9.0797e-05
