epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0156,2.08506,5.03884,2.04542,0.00808,0.42857,0.12304,0.05675,1.15515,4.10313,1.39073,5.831e-05,5.831e-05,5.831e-05
2,42.3581,1.53253,4.18758,1.59945,0.01006,0.5,0.12265,0.08624,1.13441,4.09458,1.30841,0.00011258,0.00011258,0.00011258
3,62.0512,1.53839,4.15032,1.62222,0.00956,0.57143,0.1983,0.13575,1.19149,4.07169,1.28686,0.000153655,0.000153655,0.000153655
4,79.4845,1.38249,3.73144,1.44524,0.00835,0.57143,0.23634,0.15204,1.21947,4.05345,1.28011,0.000181536,0.000181536,0.000181536
5,96.228,1.37516,3.63137,1.3858,0.00721,0.57143,0.31707,0.24111,1.14985,3.92242,1.24214,0.000196221,0.000196221,0.000196221
6,112.862,1.25796,3.25579,1.33578,0.0067,0.57143,0.29665,0.24371,1.10481,3.74246,1.25489,0.000197713,0.000197713,0.000197713
7,129.233,1.22677,3.4485,1.23372,0.00831,0.64286,0.30888,0.25265,1.00873,3.43036,1.21094,0.000186009,0.000186009,0.000186009
8,145.63,1.46746,3.05515,1.5753,0.99818,0.14286,0.34918,0.29035,1.05205,3.32338,1.20906,0.000161111,0.000161111,0.000161111
9,162.494,1.28045,2.89483,1.29488,1,0.13947,0.55447,0.43058,1.07089,3.08237,1.19902,0.000123017,0.000123017,0.000123017
10,179.161,1.17798,3.07622,1.23299,0.9734,0.28571,0.54979,0.42647,1.09051,2.98608,1.24172,7.17296e-05,7.17296e-05,7.17296e-05
